,TS代码,股票代码,股票名称,行业
613,002155.SZ,002155,湖南黄金,黄金
614,002156.SZ,002156,通富微电,半导体
615,002157.SZ,002157,正邦科技,饲料
616,002158.SZ,002158,汉钟精机,工程机械
617,002159.SZ,002159,三特索道,旅游服务
618,002160.SZ,002160,常铝股份,铝
619,002161.SZ,002161,远望谷,通信设备
620,002162.SZ,002162,悦心健康,医疗保健
621,002163.SZ,002163,中航三鑫,装修装饰
622,002164.SZ,002164,宁波东力,电气设备
623,002165.SZ,002165,红宝丽,化工原料
624,002166.SZ,002166,莱茵生物,中成药
625,002167.SZ,002167,东方锆业,小金属
626,002168.SZ,002168,惠程科技,互联网
627,002169.SZ,002169,智光电气,电气设备
628,002170.SZ,002170,芭田股份,农药化肥
629,002171.SZ,002171,楚江新材,铜
630,002172.SZ,002172,澳洋健康,化纤
631,002173.SZ,002173,创新医疗,医疗保健
632,002174.SZ,002174,游族网络,互联网
633,002175.SZ,002175,*ST东网,电器仪表
634,002176.SZ,002176,江特电机,电气设备
635,002177.SZ,002177,御银股份,电脑设备
636,002178.SZ,002178,延华智能,建筑施工
637,002179.SZ,002179,中航光电,元器件
638,002180.SZ,002180,纳思达,电脑设备
639,002181.SZ,002181,粤传媒,出版业
640,002182.SZ,002182,云海金属,小金属
641,002183.SZ,002183,怡亚通,仓储物流
642,002184.SZ,002184,海得控制,软件服务
643,002185.SZ,002185,华天科技,半导体
644,002186.SZ,002186,全聚德,酒店餐饮
645,002187.SZ,002187,广百股份,百货
646,002188.SZ,002188,*ST巴士,广告包装
647,002189.SZ,002189,利达光电,元器件
648,002190.SZ,002190,*ST集成,汽车配件
649,002191.SZ,002191,劲嘉股份,广告包装
650,002192.SZ,002192,融捷股份,专用机械
651,002193.SZ,002193,如意集团,纺织
652,002194.SZ,002194,*ST凡谷,通信设备
653,002195.SZ,002195,二三四五,软件服务
654,002196.SZ,002196,方正电机,纺织机械
655,002197.SZ,002197,证通电子,电器仪表
656,002198.SZ,002198,嘉应制药,中成药
657,002199.SZ,002199,东晶电子,元器件
658,002200.SZ,002200,*ST云投,环境保护
659,002201.SZ,002201,九鼎新材,玻璃
660,002202.SZ,002202,金风科技,电气设备
661,002203.SZ,002203,海亮股份,铜
662,002204.SZ,002204,大连重工,专用机械
663,002205.SZ,002205,国统股份,其他建材
664,002206.SZ,002206,海利得,化纤
665,002207.SZ,002207,ST准油,石油开采
666,002208.SZ,002208,合肥城建,区域地产
667,002209.SZ,002209,达意隆,轻工机械
668,002210.SZ,002210,*ST飞马,仓储物流
669,002211.SZ,002211,宏达新材,橡胶
670,002212.SZ,002212,南洋股份,电气设备
671,002213.SZ,002213,特尔佳,汽车配件
672,002214.SZ,002214,大立科技,电器仪表
673,002215.SZ,002215,诺普信,农药化肥
674,002216.SZ,002216,三全食品,食品
675,002217.SZ,002217,合力泰,元器件
676,002218.SZ,002218,拓日新能,半导体
677,002219.SZ,002219,恒康医疗,中成药
678,002220.SZ,002220,ST天宝,食品
679,002221.SZ,002221,东华能源,石油贸易
680,002222.SZ,002222,福晶科技,元器件
681,002223.SZ,002223,鱼跃医疗,医疗保健
682,002224.SZ,002224,三力士,橡胶
683,002225.SZ,002225,濮耐股份,其他建材
684,002226.SZ,002226,江南化工,化工原料
685,002227.SZ,002227,奥特迅,电气设备
686,002228.SZ,002228,合兴包装,广告包装
687,002229.SZ,002229,鸿博股份,广告包装
688,002230.SZ,002230,科大讯飞,软件服务
689,002231.SZ,002231,奥维通信,通信设备
690,002232.SZ,002232,启明信息,软件服务
691,002233.SZ,002233,塔牌集团,水泥
692,002234.SZ,002234,民和股份,农业综合
693,002235.SZ,002235,安妮股份,互联网
694,002236.SZ,002236,大华股份,电器仪表
695,002237.SZ,002237,恒邦股份,黄金
696,002238.SZ,002238,天威视讯,影视音像
697,002239.SZ,002239,奥特佳,汽车配件
698,002240.SZ,002240,威华股份,家居用品
699,002241.SZ,002241,歌尔股份,元器件
700,002242.SZ,002242,九阳股份,家用电器
701,002243.SZ,002243,通产丽星,塑料
702,002244.SZ,002244,滨江集团,区域地产
703,002245.SZ,002245,澳洋顺昌,仓储物流
704,002246.SZ,002246,北化股份,化工原料
705,002247.SZ,002247,聚力文化,互联网
706,002248.SZ,002248,华东数控,机床制造
707,002249.SZ,002249,大洋电机,电气设备
708,002250.SZ,002250,联化科技,化工原料
709,002251.SZ,002251,步步高,超市连锁
710,002252.SZ,002252,上海莱士,生物制药
711,002253.SZ,002253,川大智胜,软件服务
712,002254.SZ,002254,泰和新材,化纤
713,002255.SZ,002255,海陆重工,专用机械
714,002256.SZ,002256,兆新股份,染料涂料
715,002258.SZ,002258,利尔化学,农药化肥
716,002259.SZ,002259,*ST升达,供气供热
717,002261.SZ,002261,拓维信息,互联网
718,002262.SZ,002262,恩华药业,化学制药
719,002263.SZ,002263,*ST东南,塑料
720,002264.SZ,002264,新华都,超市连锁
721,002265.SZ,002265,西仪股份,汽车配件
722,002266.SZ,002266,浙富控股,电气设备
723,002267.SZ,002267,陕天然气,供气供热
724,002268.SZ,002268,卫士通,软件服务
725,002269.SZ,002269,美邦服饰,服饰
726,002270.SZ,002270,华明装备,电气设备
727,002271.SZ,002271,东方雨虹,其他建材
728,002272.SZ,002272,川润股份,机械基件
729,002273.SZ,002273,水晶光电,元器件
730,002274.SZ,002274,华昌化工,农药化肥
731,002275.SZ,002275,桂林三金,中成药
732,002276.SZ,002276,万马股份,电气设备
733,002277.SZ,002277,友阿股份,百货
734,002278.SZ,002278,神开股份,化工机械
735,002279.SZ,002279,久其软件,软件服务
736,002280.SZ,002280,联络互动,软件服务
737,002281.SZ,002281,光迅科技,通信设备
738,002282.SZ,002282,博深股份,轻工机械
739,002283.SZ,002283,天润曲轴,汽车配件
740,002284.SZ,002284,亚太股份,汽车配件
741,002285.SZ,002285,世联行,房产服务
742,002286.SZ,002286,保龄宝,食品
743,002287.SZ,002287,奇正藏药,中成药
744,002288.SZ,002288,超华科技,元器件
745,002289.SZ,002289,*ST宇顺,元器件
746,002290.SZ,002290,*ST中科,家用电器
747,002291.SZ,002291,星期六,服饰
748,002292.SZ,002292,奥飞娱乐,影视音像
749,002293.SZ,002293,罗莱生活,纺织
750,002294.SZ,002294,信立泰,化学制药
751,002295.SZ,002295,精艺股份,铜
752,002296.SZ,002296,辉煌科技,通信设备
753,002297.SZ,002297,博云新材,矿物制品
754,002298.SZ,002298,中电兴发,软件服务
755,002299.SZ,002299,圣农发展,农业综合
756,002300.SZ,002300,太阳电缆,电气设备
757,002301.SZ,002301,齐心集团,文教休闲
758,002302.SZ,002302,西部建设,水泥
759,002303.SZ,002303,美盈森,造纸
760,002304.SZ,002304,洋河股份,白酒
761,002305.SZ,002305,南国置业,区域地产
762,002306.SZ,002306,*ST云网,酒店餐饮
763,002307.SZ,002307,北新路桥,建筑施工
764,002308.SZ,002308,威创股份,电脑设备
765,002309.SZ,002309,中利集团,电气设备
766,002310.SZ,002310,东方园林,建筑施工
767,002311.SZ,002311,海大集团,饲料
768,002312.SZ,002312,三泰控股,电脑设备
769,002313.SZ,002313,日海智能,通信设备
770,002314.SZ,002314,南山控股,区域地产
771,002315.SZ,002315,焦点科技,互联网
772,002316.SZ,002316,亚联发展,软件服务
773,002317.SZ,002317,众生药业,中成药
774,002318.SZ,002318,久立特材,特种钢
775,002319.SZ,002319,乐通股份,染料涂料
776,002320.SZ,002320,海峡股份,水运
777,002321.SZ,002321,华英农业,农业综合
778,002322.SZ,002322,理工环科,软件服务
779,002323.SZ,002323,*ST百特,建筑施工
780,002324.SZ,002324,普利特,塑料
781,002325.SZ,002325,洪涛股份,装修装饰
782,002326.SZ,002326,永太科技,化工原料
783,002327.SZ,002327,富安娜,纺织
784,002328.SZ,002328,新朋股份,汽车配件
785,002329.SZ,002329,皇氏集团,乳制品
786,002330.SZ,002330,得利斯,食品
787,002331.SZ,002331,皖通科技,软件服务
788,002332.SZ,002332,仙琚制药,生物制药
789,002333.SZ,002333,*ST罗普,铝
790,002334.SZ,002334,英威腾,电气设备
791,002335.SZ,002335,科华恒盛,电气设备
792,002336.SZ,002336,*ST人乐,超市连锁
793,002337.SZ,002337,赛象科技,化工机械
794,002338.SZ,002338,奥普光电,电器仪表
795,002339.SZ,002339,积成电子,电气设备
796,002340.SZ,002340,格林美,小金属
797,002341.SZ,002341,新纶科技,化工原料
798,002342.SZ,002342,巨力索具,机械基件
799,002343.SZ,002343,慈文传媒,影视音像
800,002344.SZ,002344,海宁皮城,商品城
801,002345.SZ,002345,潮宏基,服饰
802,002346.SZ,002346,柘中股份,电气设备
803,002347.SZ,002347,泰尔股份,机械基件
804,002348.SZ,002348,高乐股份,文教休闲
805,002349.SZ,002349,精华制药,中成药
806,002350.SZ,002350,北京科锐,电气设备
807,002351.SZ,002351,漫步者,电脑设备
808,002352.SZ,002352,顺丰控股,仓储物流
809,002353.SZ,002353,杰瑞股份,化工机械
810,002354.SZ,002354,天神娱乐,互联网
811,002355.SZ,002355,兴民智通,汽车配件
812,002356.SZ,002356,*ST赫美,其他商业
813,002357.SZ,002357,富临运业,公路
814,002358.SZ,002358,森源电气,电气设备
815,002359.SZ,002359,*ST北讯,通信设备
816,002360.SZ,002360,同德化工,化工原料
817,002361.SZ,002361,神剑股份,化工原料
818,002362.SZ,002362,汉王科技,电脑设备
819,002363.SZ,002363,隆基机械,汽车配件
820,002364.SZ,002364,中恒电气,电气设备
821,002365.SZ,002365,永安药业,化学制药
822,002366.SZ,002366,台海核电,专用机械
823,002367.SZ,002367,康力电梯,运输设备
824,002368.SZ,002368,太极股份,软件服务
825,002369.SZ,002369,卓翼科技,通信设备
826,002370.SZ,002370,亚太药业,化学制药
827,002371.SZ,002371,北方华创,专用机械
828,002372.SZ,002372,伟星新材,其他建材
829,002373.SZ,002373,千方科技,软件服务
830,002374.SZ,002374,丽鹏股份,建筑施工
831,002375.SZ,002375,亚厦股份,装修装饰
832,002376.SZ,002376,新北洋,电脑设备
833,002377.SZ,002377,国创高新,房产服务
834,002378.SZ,002378,章源钨业,小金属
835,002379.SZ,002379,宏创控股,铝
836,002380.SZ,002380,科远智慧,电气设备
837,002381.SZ,002381,双箭股份,橡胶
838,002382.SZ,002382,蓝帆医疗,医疗保健
839,002383.SZ,002383,合众思壮,通信设备
840,002384.SZ,002384,东山精密,通信设备
841,002385.SZ,002385,大北农,饲料
842,002386.SZ,002386,天原集团,化工原料
843,002387.SZ,002387,维信诺,元器件
844,002388.SZ,002388,新亚制程,元器件
845,002389.SZ,002389,航天彩虹,元器件
846,002390.SZ,002390,信邦制药,中成药
847,002391.SZ,002391,长青股份,农药化肥
848,002392.SZ,002392,北京利尔,其他建材
849,002393.SZ,002393,力生制药,化学制药
850,002394.SZ,002394,联发股份,纺织
851,002395.SZ,002395,双象股份,塑料
852,002396.SZ,002396,星网锐捷,通信设备
853,002397.SZ,002397,梦洁股份,纺织
854,002398.SZ,002398,建研集团,其他建材
855,002399.SZ,002399,海普瑞,化学制药
856,002400.SZ,002400,省广集团,广告包装
857,002401.SZ,002401,中远海科,软件服务
858,002402.SZ,002402,和而泰,元器件
859,002403.SZ,002403,爱仕达,家用电器
860,002404.SZ,002404,嘉欣丝绸,纺织
861,002405.SZ,002405,四维图新,软件服务
862,002406.SZ,002406,远东传动,汽车配件
863,002407.SZ,002407,多氟多,化工原料
864,002408.SZ,002408,齐翔腾达,化工原料
865,002409.SZ,002409,雅克科技,化工原料
866,002410.SZ,002410,广联达,软件服务
867,002411.SZ,002411,延安必康,化学制药
868,002412.SZ,002412,汉森制药,中成药
869,002413.SZ,002413,雷科防务,通信设备
870,002414.SZ,002414,高德红外,电器仪表
871,002415.SZ,002415,海康威视,电器仪表
872,002416.SZ,002416,爱施德,电器连锁
873,002417.SZ,002417,深南股份,多元金融
874,002418.SZ,002418,康盛股份,机械基件
875,002419.SZ,002419,天虹股份,百货
876,002420.SZ,002420,*ST毅昌,塑料
877,002421.SZ,002421,达实智能,软件服务
878,002422.SZ,002422,科伦药业,化学制药
879,002423.SZ,002423,中原特钢,特种钢
880,002424.SZ,002424,贵州百灵,中成药
881,002425.SZ,002425,凯撒文化,互联网
882,002426.SZ,002426,胜利精密,元器件
883,002427.SZ,002427,*ST尤夫,化纤
884,002428.SZ,002428,云南锗业,小金属
885,002429.SZ,002429,兆驰股份,家用电器
886,002430.SZ,002430,杭氧股份,化工机械
887,002431.SZ,002431,棕榈股份,建筑施工
888,002432.SZ,002432,九安医疗,医疗保健
889,002433.SZ,002433,太安堂,中成药
890,002434.SZ,002434,万里扬,汽车配件
891,002435.SZ,002435,长江润发,化学制药
892,002436.SZ,002436,兴森科技,元器件
893,002437.SZ,002437,誉衡药业,化学制药
894,002438.SZ,002438,江苏神通,机械基件
895,002439.SZ,002439,启明星辰,软件服务
896,002440.SZ,002440,闰土股份,染料涂料
897,002441.SZ,002441,众业达,批发业
898,002442.SZ,002442,龙星化工,化工原料
899,002443.SZ,002443,金洲管道,钢加工
900,002444.SZ,002444,巨星科技,轻工机械
901,002445.SZ,002445,ST中南,影视音像
902,002446.SZ,002446,盛路通信,通信设备
903,002447.SZ,002447,晨鑫科技,互联网
904,002448.SZ,002448,中原内配,汽车配件
905,002449.SZ,002449,国星光电,半导体
906,002450.SZ,002450,*ST康得,化工原料
907,002451.SZ,002451,摩恩电气,电气设备
908,002452.SZ,002452,长高集团,电气设备
909,002453.SZ,002453,华软科技,化工原料
910,002454.SZ,002454,松芝股份,汽车配件
911,002455.SZ,002455,百川股份,化工原料
912,002456.SZ,002456,欧菲光,元器件
913,002457.SZ,002457,青龙管业,塑料
914,002458.SZ,002458,益生股份,农业综合
915,002459.SZ,002459,天业通联,工程机械
916,002460.SZ,002460,赣锋锂业,小金属
917,002461.SZ,002461,珠江啤酒,啤酒
918,002462.SZ,002462,嘉事堂,医药商业
919,002463.SZ,002463,沪电股份,元器件
920,002464.SZ,002464,众应互联,互联网
921,002465.SZ,002465,海格通信,通信设备
922,002466.SZ,002466,天齐锂业,小金属
923,002467.SZ,002467,二六三,电信运营
924,002468.SZ,002468,申通快递,仓储物流
925,002469.SZ,002469,三维工程,建筑施工
926,002470.SZ,002470,金正大,农药化肥
927,002471.SZ,002471,中超控股,电气设备
928,002472.SZ,002472,双环传动,机械基件
929,002473.SZ,002473,圣莱达,家用电器
930,002474.SZ,002474,榕基软件,软件服务
931,002475.SZ,002475,立讯精密,元器件
932,002476.SZ,002476,宝莫股份,化工原料
933,002477.SZ,002477,*ST雏鹰,农业综合
934,002478.SZ,002478,常宝股份,钢加工
935,002479.SZ,002479,富春环保,火力发电
936,002480.SZ,002480,新筑股份,机械基件
937,002481.SZ,002481,双塔食品,食品
938,002482.SZ,002482,广田集团,装修装饰
939,002483.SZ,002483,润邦股份,工程机械
940,002484.SZ,002484,江海股份,元器件
941,002485.SZ,002485,希努尔,服饰
942,002486.SZ,002486,嘉麟杰,服饰
943,002487.SZ,002487,大金重工,钢加工
944,002488.SZ,002488,金固股份,汽车配件
945,002489.SZ,002489,浙江永强,家居用品
946,002490.SZ,002490,山东墨龙,化工机械
947,002491.SZ,002491,通鼎互联,通信设备
948,002492.SZ,002492,恒基达鑫,仓储物流
949,002493.SZ,002493,荣盛石化,化纤
950,002494.SZ,002494,华斯股份,服饰
951,002495.SZ,002495,佳隆股份,食品
952,002496.SZ,002496,辉丰股份,农药化肥
953,002497.SZ,002497,雅化集团,化工原料
954,002498.SZ,002498,汉缆股份,电气设备
955,002499.SZ,002499,*ST科林,环境保护
956,002500.SZ,002500,山西证券,证券
957,002501.SZ,002501,*ST利源,铝
958,002502.SZ,002502,骅威文化,影视音像
959,002503.SZ,002503,搜于特,服饰
960,002504.SZ,002504,弘高创意,装修装饰
961,002505.SZ,002505,大康农业,农业综合
962,002506.SZ,002506,协鑫集成,电气设备
963,002507.SZ,002507,涪陵榨菜,食品
964,002508.SZ,002508,老板电器,家用电器
965,002509.SZ,002509,天广中茂,专用机械
966,002510.SZ,002510,天汽模,汽车配件
967,002511.SZ,002511,中顺洁柔,造纸
968,002512.SZ,002512,达华智能,元器件
969,002513.SZ,002513,蓝丰生化,农药化肥
970,002514.SZ,002514,宝馨科技,机械基件
971,002515.SZ,002515,金字火腿,食品
972,002516.SZ,002516,旷达科技,纺织
973,002517.SZ,002517,恺英网络,互联网
974,002518.SZ,002518,科士达,电器仪表
975,002519.SZ,002519,银河电子,通信设备
976,002520.SZ,002520,日发精机,机床制造
977,002521.SZ,002521,齐峰新材,造纸
978,002522.SZ,002522,浙江众成,塑料
979,002523.SZ,002523,天桥起重,工程机械
980,002524.SZ,002524,光正集团,医疗保健
981,002526.SZ,002526,山东矿机,工程机械
982,002527.SZ,002527,新时达,电器仪表
983,002528.SZ,002528,英飞拓,电脑设备
984,002529.SZ,002529,海源复材,专用机械
985,002530.SZ,002530,金财互联,软件服务
986,002531.SZ,002531,天顺风能,电气设备
987,002532.SZ,002532,新界泵业,农用机械
988,002533.SZ,002533,金杯电工,电气设备
989,002534.SZ,002534,杭锅股份,专用机械
990,002535.SZ,002535,林州重机,工程机械
991,002536.SZ,002536,飞龙股份,汽车配件
992,002537.SZ,002537,海联金汇,汽车整车
993,002538.SZ,002538,司尔特,农药化肥
994,002539.SZ,002539,云图控股,农药化肥
995,002540.SZ,002540,亚太科技,铝
996,002541.SZ,002541,鸿路钢构,钢加工
997,002542.SZ,002542,中化岩土,建筑施工
998,002543.SZ,002543,万和电气,家用电器
999,002544.SZ,002544,杰赛科技,软件服务
1000,002545.SZ,002545,东方铁塔,钢加工
1001,002546.SZ,002546,新联电子,电气设备
1002,002547.SZ,002547,春兴精工,通信设备
1003,002548.SZ,002548,金新农,饲料
1004,002549.SZ,002549,凯美特气,环境保护
1005,002550.SZ,002550,千红制药,生物制药
1006,002551.SZ,002551,尚荣医疗,医疗保健
1007,002552.SZ,002552,宝鼎科技,机械基件
1008,002553.SZ,002553,南方轴承,汽车配件
1009,002554.SZ,002554,惠博普,石油开采
1010,002555.SZ,002555,三七互娱,互联网
1011,002556.SZ,002556,辉隆股份,其他商业
1012,002557.SZ,002557,洽洽食品,食品
1013,002558.SZ,002558,巨人网络,互联网
1014,002559.SZ,002559,亚威股份,机床制造
1015,002560.SZ,002560,通达股份,电气设备
1016,002561.SZ,002561,徐家汇,百货
1017,002562.SZ,002562,兄弟科技,化学制药
1018,002563.SZ,002563,森马服饰,服饰
1019,002564.SZ,002564,天沃科技,化工机械
1020,002565.SZ,002565,顺灏股份,造纸
1021,002566.SZ,002566,益盛药业,中成药
1022,002567.SZ,002567,唐人神,饲料
1023,002568.SZ,002568,百润股份,红黄药酒
1024,002569.SZ,002569,*ST步森,服饰
1025,002570.SZ,002570,贝因美,乳制品
1026,002571.SZ,002571,德力股份,玻璃
1027,002572.SZ,002572,索菲亚,家居用品
1028,002573.SZ,002573,清新环境,环境保护
1029,002574.SZ,002574,明牌珠宝,服饰
1030,002575.SZ,002575,群兴玩具,文教休闲
1031,002576.SZ,002576,通达动力,电气设备
1032,002577.SZ,002577,雷柏科技,电脑设备
1033,002578.SZ,002578,闽发铝业,铝
1034,002579.SZ,002579,中京电子,元器件
1035,002580.SZ,002580,圣阳股份,电气设备
1036,002581.SZ,002581,未名医药,生物制药
1037,002582.SZ,002582,好想你,食品
1038,002583.SZ,002583,海能达,通信设备
1039,002584.SZ,002584,西陇科学,化工原料
1040,002585.SZ,002585,双星新材,塑料
1041,002586.SZ,002586,ST围海,建筑施工
1042,002587.SZ,002587,奥拓电子,元器件
1043,002588.SZ,002588,史丹利,农药化肥
1044,002589.SZ,002589,瑞康医药,医药商业
1045,002590.SZ,002590,万安科技,汽车配件
1046,002591.SZ,002591,恒大高新,化工原料
1047,002592.SZ,002592,八菱科技,汽车配件
1048,002593.SZ,002593,日上集团,汽车配件
1049,002594.SZ,002594,比亚迪,汽车整车
1050,002595.SZ,002595,豪迈科技,专用机械
1051,002596.SZ,002596,海南瑞泽,其他建材
1052,002597.SZ,002597,金禾实业,化工原料
1053,002598.SZ,002598,山东章鼓,机械基件
1054,002599.SZ,002599,盛通股份,广告包装
1055,002600.SZ,002600,领益智造,元器件
1056,002601.SZ,002601,龙蟒佰利,化工原料
1057,002602.SZ,002602,世纪华通,互联网
1058,002603.SZ,002603,以岭药业,中成药
1059,002605.SZ,002605,姚记扑克,文教休闲
1060,002606.SZ,002606,大连电瓷,电气设备
1061,002607.SZ,002607,中公教育,文教休闲
1062,002608.SZ,002608,江苏国信,火力发电
1063,002609.SZ,002609,捷顺科技,软件服务
1064,002610.SZ,002610,爱康科技,电气设备
1065,002611.SZ,002611,东方精工,轻工机械
1066,002612.SZ,002612,朗姿股份,服饰
1067,002613.SZ,002613,北玻股份,专用机械
1068,002614.SZ,002614,奥佳华,医疗保健
1069,002615.SZ,002615,哈尔斯,家居用品
1070,002616.SZ,002616,长青集团,环境保护
1071,002617.SZ,002617,露笑科技,电气设备
1072,002618.SZ,002618,丹邦科技,元器件
1073,002619.SZ,002619,艾格拉斯,互联网
1074,002620.SZ,002620,瑞和股份,装修装饰
1075,002621.SZ,002621,美吉姆,文教休闲
1076,002622.SZ,002622,融钰集团,综合类
1077,002623.SZ,002623,亚玛顿,玻璃
1078,002624.SZ,002624,完美世界,影视音像
1079,002625.SZ,002625,光启技术,汽车配件
1080,002626.SZ,002626,金达威,食品
1081,002627.SZ,002627,宜昌交运,公共交通
1082,002628.SZ,002628,成都路桥,建筑施工
1083,002629.SZ,002629,*ST仁智,石油开采
1084,002630.SZ,002630,华西能源,专用机械
1085,002631.SZ,002631,德尔未来,家居用品
1086,002632.SZ,002632,道明光学,化工原料
1087,002633.SZ,002633,申科股份,机械基件
1088,002634.SZ,002634,棒杰股份,服饰
1089,002635.SZ,002635,安洁科技,电脑设备
1090,002636.SZ,002636,金安国纪,元器件
1091,002637.SZ,002637,赞宇科技,日用化工
1092,002638.SZ,002638,勤上股份,文教休闲
1093,002639.SZ,002639,雪人股份,专用机械
1094,002640.SZ,002640,跨境通,服饰
1095,002641.SZ,002641,永高股份,塑料
1096,002642.SZ,002642,*ST荣联,软件服务
1097,002643.SZ,002643,万润股份,化工原料
1098,002644.SZ,002644,佛慈制药,中成药
1099,002645.SZ,002645,华宏科技,专用机械
1100,002646.SZ,002646,青青稞酒,白酒
1101,002647.SZ,002647,仁东控股,多元金融
1102,002648.SZ,002648,卫星石化,化工原料
1103,002649.SZ,002649,博彦科技,软件服务
1104,002650.SZ,002650,加加食品,食品
1105,002651.SZ,002651,利君股份,专用机械
1106,002652.SZ,002652,扬子新材,其他建材
1107,002653.SZ,002653,海思科,化学制药
1108,002654.SZ,002654,万润科技,半导体
1109,002655.SZ,002655,共达电声,元器件
1110,002656.SZ,002656,摩登大道,服饰
1111,002657.SZ,002657,中科金财,软件服务
1112,002658.SZ,002658,雪迪龙,环境保护
1113,002659.SZ,002659,凯文教育,文教休闲
1114,002660.SZ,002660,茂硕电源,电气设备
1115,002661.SZ,002661,克明面业,食品
1116,002662.SZ,002662,京威股份,汽车配件
1117,002663.SZ,002663,普邦股份,建筑施工
1118,002664.SZ,002664,长鹰信质,汽车配件
1119,002665.SZ,002665,首航节能,电气设备
1120,002666.SZ,002666,德联集团,化工原料
1121,002667.SZ,002667,鞍重股份,工程机械
1122,002668.SZ,002668,奥马电器,家用电器
1123,002669.SZ,002669,康达新材,化工原料
1124,002670.SZ,002670,国盛金控,证券
1125,002671.SZ,002671,龙泉股份,其他建材
1126,002672.SZ,002672,东江环保,环境保护
1127,002673.SZ,002673,西部证券,证券
1128,002674.SZ,002674,兴业科技,纺织
1129,002675.SZ,002675,东诚药业,化学制药
1130,002676.SZ,002676,顺威股份,塑料
1131,002677.SZ,002677,浙江美大,家用电器
1132,002678.SZ,002678,珠江钢琴,文教休闲
1133,002679.SZ,002679,福建金森,林业
1134,002681.SZ,002681,奋达科技,家用电器
1135,002682.SZ,002682,龙洲股份,公路
1136,002683.SZ,002683,宏大爆破,化工原料
1137,002684.SZ,002684,*ST猛狮,电气设备
1138,002685.SZ,002685,华东重机,工程机械
1139,002686.SZ,002686,亿利达,专用机械
1140,002687.SZ,002687,乔治白,服饰
1141,002688.SZ,002688,金河生物,化学制药
1142,002689.SZ,002689,远大智能,运输设备
1143,002690.SZ,002690,美亚光电,专用机械
1144,002691.SZ,002691,冀凯股份,专用机械
1145,002692.SZ,002692,ST远程,电气设备
1146,002693.SZ,002693,双成药业,化学制药
1147,002694.SZ,002694,顾地科技,塑料
1148,002695.SZ,002695,煌上煌,食品
1149,002696.SZ,002696,百洋股份,渔业
1150,002697.SZ,002697,红旗连锁,超市连锁
1151,002698.SZ,002698,博实股份,化工机械
1152,002699.SZ,002699,美盛文化,服饰
1153,002700.SZ,002700,新疆浩源,供气供热
1154,002701.SZ,002701,奥瑞金,广告包装
1155,002702.SZ,002702,海欣食品,食品
1156,002703.SZ,002703,浙江世宝,汽车配件
1157,002705.SZ,002705,新宝股份,家用电器
1158,002706.SZ,002706,良信电器,电气设备
1159,002707.SZ,002707,众信旅游,旅游服务
1160,002708.SZ,002708,光洋股份,汽车配件
1161,002709.SZ,002709,天赐材料,化工原料
1162,002711.SZ,002711,*ST欧浦,仓储物流
1163,002712.SZ,002712,思美传媒,广告包装
1164,002713.SZ,002713,东易日盛,装修装饰
1165,002714.SZ,002714,牧原股份,农业综合
1166,002715.SZ,002715,登云股份,汽车配件
1167,002716.SZ,002716,金贵银业,小金属
1168,002717.SZ,002717,岭南股份,环境保护
1169,002718.SZ,002718,友邦吊顶,家居用品
1170,002719.SZ,002719,麦趣尔,乳制品
1171,002721.SZ,002721,金一文化,服饰
1172,002722.SZ,002722,金轮股份,纺织机械
1173,002723.SZ,002723,金莱特,家用电器
1174,002724.SZ,002724,海洋王,半导体
1175,002725.SZ,002725,跃岭股份,汽车配件
1176,002726.SZ,002726,龙大肉食,食品
1177,002727.SZ,002727,一心堂,医药商业
1178,002728.SZ,002728,特一药业,中成药
1179,002729.SZ,002729,好利来,元器件
1180,002730.SZ,002730,电光科技,电气设备
1181,002731.SZ,002731,萃华珠宝,服饰
1182,002732.SZ,002732,燕塘乳业,乳制品
1183,002733.SZ,002733,雄韬股份,电气设备
1184,002734.SZ,002734,利民股份,农药化肥
1185,002735.SZ,002735,王子新材,塑料
1186,002736.SZ,002736,国信证券,证券
1187,002737.SZ,002737,葵花药业,中成药
1188,002738.SZ,002738,中矿资源,建筑施工
1189,002739.SZ,002739,万达电影,影视音像
1190,002740.SZ,002740,爱迪尔,服饰
1191,002741.SZ,002741,光华科技,化工原料
1192,002742.SZ,002742,三圣股份,其他建材
1193,002743.SZ,002743,富煌钢构,钢加工
1194,002745.SZ,002745,木林森,半导体
1195,002746.SZ,002746,仙坛股份,农业综合
1196,002747.SZ,002747,埃斯顿,机械基件
1197,002748.SZ,002748,世龙实业,化工原料
1198,002749.SZ,002749,国光股份,农药化肥
1199,002750.SZ,002750,龙津药业,中成药
1200,002751.SZ,002751,易尚展示,家居用品
1201,002752.SZ,002752,昇兴股份,广告包装
1202,002753.SZ,002753,永东股份,化工原料
1203,002755.SZ,002755,奥赛康,化学制药
1204,002756.SZ,002756,永兴特钢,特种钢
1205,002757.SZ,002757,南兴股份,家居用品
1206,002758.SZ,002758,华通医药,医药商业
1207,002759.SZ,002759,天际股份,家用电器
1208,002760.SZ,002760,凤形股份,机械基件
1209,002761.SZ,002761,多喜爱,纺织
1210,002762.SZ,002762,金发拉比,服饰
1211,002763.SZ,002763,汇洁股份,服饰
1212,002765.SZ,002765,蓝黛传动,汽车配件
1213,002766.SZ,002766,*ST索菱,汽车配件
1214,002767.SZ,002767,先锋电子,电器仪表
1215,002768.SZ,002768,国恩股份,塑料
1216,002769.SZ,002769,普路通,仓储物流
