,TS代码,股票代码,股票名称,行业
140,000550.SZ,000550,江铃汽车,汽车整车
141,000551.SZ,000551,创元科技,专用机械
142,000552.SZ,000552,靖远煤电,煤炭开采
143,000553.SZ,000553,安道麦A,农药化肥
144,000554.SZ,000554,泰山石油,石油贸易
145,000555.SZ,000555,神州信息,软件服务
146,000557.SZ,000557,西部创业,铁路
147,000558.SZ,000558,莱茵体育,文教休闲
148,000559.SZ,000559,万向钱潮,汽车配件
149,000560.SZ,000560,我爱我家,房产服务
150,000561.SZ,000561,烽火电子,通信设备
151,000563.SZ,000563,陕国投A,多元金融
152,000564.SZ,000564,供销大集,百货
153,000565.SZ,000565,渝三峡A,染料涂料
154,000566.SZ,000566,海南海药,化学制药
155,000567.SZ,000567,海德股份,多元金融
156,000568.SZ,000568,泸州老窖,白酒
157,000570.SZ,000570,苏常柴A,机械基件
158,000571.SZ,000571,*ST大洲,综合类
159,000572.SZ,000572,*ST海马,汽车整车
160,000573.SZ,000573,粤宏远A,区域地产
161,000576.SZ,000576,广东甘化,造纸
162,000581.SZ,000581,威孚高科,汽车配件
163,000582.SZ,000582,北部湾港,港口
164,000584.SZ,000584,哈工智能,专用机械
165,000585.SZ,000585,*ST东电,电气设备
166,000586.SZ,000586,汇源通信,通信设备
167,000587.SZ,000587,金洲慈航,批发业
168,000589.SZ,000589,贵州轮胎,汽车配件
169,000590.SZ,000590,启迪古汉,中成药
170,000591.SZ,000591,太阳能,新型电力
171,000592.SZ,000592,平潭发展,林业
172,000593.SZ,000593,大通燃气,供气供热
173,000595.SZ,000595,宝塔实业,机械基件
174,000596.SZ,000596,古井贡酒,白酒
175,000597.SZ,000597,东北制药,化学制药
176,000598.SZ,000598,兴蓉环境,水务
177,000599.SZ,000599,青岛双星,汽车配件
178,000600.SZ,000600,建投能源,火力发电
179,000601.SZ,000601,韶能股份,水力发电
180,000603.SZ,000603,盛达矿业,铅锌
181,000605.SZ,000605,渤海股份,水务
182,000606.SZ,000606,顺利办,互联网
183,000607.SZ,000607,华媒控股,广告包装
184,000608.SZ,000608,阳光股份,区域地产
185,000609.SZ,000609,中迪投资,区域地产
186,000610.SZ,000610,西安旅游,旅游服务
187,000611.SZ,000611,*ST天首,纺织
188,000612.SZ,000612,焦作万方,铝
189,000613.SZ,000613,大东海A,旅游服务
190,000615.SZ,000615,京汉股份,全国地产
191,000616.SZ,000616,海航投资,全国地产
192,000617.SZ,000617,中油资本,多元金融
193,000619.SZ,000619,海螺型材,其他建材
194,000620.SZ,000620,新华联,全国地产
195,000622.SZ,000622,恒立实业,汽车配件
196,000623.SZ,000623,吉林敖东,中成药
197,000625.SZ,000625,长安汽车,汽车整车
198,000626.SZ,000626,远大控股,商贸代理
199,000627.SZ,000627,天茂集团,保险
200,000628.SZ,000628,高新发展,园区开发
201,000629.SZ,000629,攀钢钒钛,小金属
202,000630.SZ,000630,铜陵有色,铜
203,000631.SZ,000631,顺发恒业,区域地产
204,000632.SZ,000632,三木集团,综合类
205,000633.SZ,000633,合金投资,综合类
206,000635.SZ,000635,英力特,化工原料
207,000636.SZ,000636,风华高科,元器件
208,000637.SZ,000637,茂化实华,石油加工
209,000638.SZ,000638,万方发展,批发业
210,000639.SZ,000639,西王食品,食品
211,000650.SZ,000650,仁和药业,中成药
212,000651.SZ,000651,格力电器,家用电器
213,000652.SZ,000652,泰达股份,批发业
214,000655.SZ,000655,金岭矿业,普钢
215,000656.SZ,000656,金科股份,区域地产
216,000657.SZ,000657,中钨高新,小金属
217,000659.SZ,000659,珠海中富,广告包装
218,000661.SZ,000661,长春高新,生物制药
219,000662.SZ,000662,天夏智慧,软件服务
220,000663.SZ,000663,永安林业,林业
221,000665.SZ,000665,湖北广电,影视音像
222,000666.SZ,000666,经纬纺机,纺织机械
223,000667.SZ,000667,美好置业,全国地产
224,000668.SZ,000668,荣丰控股,区域地产
225,000669.SZ,000669,金鸿控股,供气供热
226,000670.SZ,000670,*ST盈方,元器件
227,000671.SZ,000671,阳光城,区域地产
228,000672.SZ,000672,上峰水泥,水泥
229,000673.SZ,000673,当代东方,影视音像
230,000676.SZ,000676,智度股份,互联网
231,000677.SZ,000677,恒天海龙,化纤
232,000678.SZ,000678,襄阳轴承,机械基件
233,000679.SZ,000679,大连友谊,百货
234,000680.SZ,000680,山推股份,工程机械
235,000681.SZ,000681,视觉中国,互联网
236,000682.SZ,000682,东方电子,电气设备
237,000683.SZ,000683,远兴能源,化工原料
238,000685.SZ,000685,中山公用,水务
239,000686.SZ,000686,东北证券,证券
240,000687.SZ,000687,华讯方舟,通信设备
241,000688.SZ,000688,国城矿业,铅锌
242,000690.SZ,000690,宝新能源,火力发电
243,000691.SZ,000691,亚太实业,区域地产
244,000692.SZ,000692,惠天热电,供气供热
245,000695.SZ,000695,滨海能源,广告包装
246,000697.SZ,000697,炼石航空,航空
247,000698.SZ,000698,沈阳化工,化工原料
248,000700.SZ,000700,模塑科技,汽车配件
249,000701.SZ,000701,厦门信达,综合类
250,000702.SZ,000702,正虹科技,饲料
251,000703.SZ,000703,恒逸石化,化纤
252,000705.SZ,000705,浙江震元,医药商业
253,000707.SZ,000707,ST双环,化工原料
254,000708.SZ,000708,大冶特钢,特种钢
255,000709.SZ,000709,河钢股份,普钢
256,000710.SZ,000710,贝瑞基因,医疗保健
257,000711.SZ,000711,京蓝科技,软件服务
258,000712.SZ,000712,锦龙股份,证券
259,000713.SZ,000713,丰乐种业,种植业
260,000715.SZ,000715,中兴商业,百货
261,000716.SZ,000716,黑芝麻,食品
262,000717.SZ,000717,韶钢松山,普钢
263,000718.SZ,000718,苏宁环球,区域地产
264,000719.SZ,000719,中原传媒,出版业
265,000720.SZ,000720,新能泰山,区域地产
266,000721.SZ,000721,西安饮食,酒店餐饮
267,000722.SZ,000722,湖南发展,水力发电
268,000723.SZ,000723,美锦能源,焦炭加工
269,000725.SZ,000725,京东方A,元器件
270,000726.SZ,000726,鲁泰A,纺织
